"countryiso3","country","continent","ghs_index","gdp_percap","pct_urban","health_gdp_pct","democracy","deaths_per_100k","female_leader"
"AFG","Afghanistan","Asia",32.3,547.228110150363,10.7883084842018,10.19867734,FALSE,3.74020562551073,FALSE
"AGO","Angola","Africa",25.2,3506.07288506966,25.1900945840864,2.87782524,FALSE,0.535503452962776,FALSE
"ALB","Albania","Europe",52.9,4124.10890718622,NA,6.69789475,TRUE,13.204531239141,FALSE
"AND","Andorra","Europe",30.5,37224.1089162924,NA,10.36772767,NA,68.595094803598,FALSE
"ARE","United Arab Emirates","Asia",46.7,38141.8467585492,55.1294843061303,3.51684955,FALSE,4.17576639974116,FALSE
"ARG","Argentina","South America",58.6,12790.2424732447,43.2579876361677,7.54838404,TRUE,35.6515609854434,FALSE
"ARM","Armenia","Asia",50.2,3591.82927553023,36.5881669372027,9.92732109,FALSE,32.2957957420845,FALSE
"ATG","Antigua and Barbuda","North America",29,15197.6174551735,NA,4.30900835,NA,3.063475206274,FALSE
"AUS","Australia","Oceania",75.5,49971.131456129,60.5264531834214,9.25209201,TRUE,3.43138856216623,FALSE
"AUT","Austria","Europe",58.5,45237.8050921543,21.2509162531986,10.43762567,TRUE,8.77154023805294,TRUE
"AZE","Azerbaijan","Asia",34.2,3880.73873089556,22.8793709081503,6.89059972,FALSE,5.79928840364231,FALSE
"BDI","Burundi","Africa",22.8,282.193130404814,NA,6.19156298,FALSE,0.00840987652535187,FALSE
"BEL","Belgium","Europe",61,42012.0999001128,26.8298718377976,10.03841793,TRUE,86.1719663533287,TRUE
"BEN","Benin","Africa",28.8,789.084915159164,NA,3.85561779,TRUE,0.329945943306378,FALSE
"BFA","Burkina Faso","Africa",30.1,582.795444327329,12.3648303171801,6.75254452,TRUE,0.272684504315543,FALSE
"BGD","Bangladesh","Asia",35,1401.62062821515,14.4720918113748,2.36505997,FALSE,3.15320872870111,TRUE
"BGR","Bulgaria","Europe",45.6,7469.45563823624,17.69525108792,8.23011604,TRUE,11.6141093438892,FALSE
"BHR","Bahrain","Asia",39.4,22619.1166718849,NA,4.86947429,FALSE,14.3983572943547,FALSE
"BHS","Bahamas","North America",30.6,31588.8349989813,NA,6.37542177,NA,22.6320286435023,FALSE
"BIH","Bosnia and Herzegovina","Europe",42.8,4994.68314045091,NA,9.22955617,NA,25.0547501154439,FALSE
"BLR","Belarus","Europe",35.3,5022.62664330491,20.6795765820551,6.31679395,FALSE,8.69903774038367,FALSE
"BLZ","Belize","North America",31.8,4818.40439383538,NA,6.12137415,NA,6.03589850636662,FALSE
"BOL","Bolivia","South America",35.8,3076.6589493424,40.831112710123,6.86056405,TRUE,67.6773783394182,TRUE
"BRA","Brazil","South America",59.7,8712.88704442864,41.414893545089,11.77150303,TRUE,66.8321391503304,FALSE
"BRB","Barbados","North America",31.9,16936.9060448712,NA,6.96244846,NA,2.4358755754756,TRUE
"BRN","Brunei","Asia",32.6,27157.8234104784,NA,2.3409551,NA,0.68574093164763,FALSE
"BTN","Bhutan","Asia",40.3,2930.56298819354,NA,3.45418055,FALSE,0,FALSE
"BWA","Botswana","Africa",31.1,7243.85299726842,NA,5.46320154,TRUE,0.680380587891352,FALSE
"CAF","Central African Republic","Africa",27.3,401.918238362335,NA,4.28252151,FALSE,1.28370661589262,FALSE
"CAN","Canada","North America",75.3,42279.9008231637,45.8616180285253,10.53465477,TRUE,24.582590761837,FALSE
"CHE","Switzerland","Europe",67,80172.1933039266,16.0205284917437,12.24760438,TRUE,20.555499965452,FALSE
"CHL","Chile","South America",58.3,13748.0876632921,36.1092121793383,8.52893972,TRUE,66.4253043058904,FALSE
"CHN","China","Asia",48.2,8078.79047437238,26.7010269354774,4.98188075,FALSE,0.329251839343272,FALSE
"CIV","Cote d'Ivoire","Africa",35.5,1481.65223087732,19.5560841640461,4.40362075,FALSE,0.454919815643745,FALSE
"CMR","Cameroon","Africa",34.4,1363.40385121739,26.6854934597937,4.6902491,FALSE,1.57463324606801,FALSE
"COD","Democratic Republic of Congo","Africa",26.5,471.318840409572,23.6174466052911,3.87116143,FALSE,0.302585698634202,FALSE
"COG","Congo","Africa",23.6,1814.06341798173,62.0646982663518,4.63481785,FALSE,1.61287633479108,FALSE
"COL","Colombia","South America",44.2,5871.22352385952,43.1541338892594,5.91234407,TRUE,50.3921908200015,FALSE
"COM","Comoros","Africa",27.2,1272.19394336975,NA,7.63108978,TRUE,0.804972429694283,FALSE
"CPV","Cape Verde","Africa",29.3,3130.9822291706,NA,5.23696219,TRUE,10.6117398217228,FALSE
"CRI","Costa Rica","North America",45.1,11666.4559107759,26.8819403410048,7.55572353,TRUE,16.9018596756963,FALSE
"CUB","Cuba","North America",35.2,8060.79588647979,18.7731145770191,12.19122021,FALSE,1.0771089970738,FALSE
"CYP","Cyprus","Europe",43,24019.1378679236,NA,6.87966475,TRUE,2.51170511668583,FALSE
"CZE","Czech Republic","Europe",52,18463.3865756564,12.0837959662823,7.14959908,TRUE,5.77085665098699,FALSE
"DEU","Germany","Europe",66,42098.9204453545,9.52448909647829,11.13916763,TRUE,11.3040750229653,TRUE
"DJI","Djibouti","Africa",23.2,2818.37685569239,NA,3.50192451,FALSE,6.1740765706952,FALSE
"DMA","Dominica","North America",24,8080.96862341186,NA,5.30393975,NA,0,FALSE
"DNK","Denmark","Europe",70.4,54663.9983719195,22.474419562815,10.35004017,TRUE,11.2047177904504,TRUE
"DOM","Dominican Republic","North America",38.3,7280.87316423465,29.0320793656854,6.16130052,TRUE,19.340141653171,FALSE
"DZA","Algeria","Africa",23.6,3946.4214445883,6.47483870102253,6.648475,FALSE,3.92008919833446,FALSE
"ECU","Ecuador","South America",50.1,6060.09332904415,27.6151733827579,8.38714107,FALSE,63.9344875548799,FALSE
"EGY","Egypt","Africa",39.9,3525.02016450058,25.533959379916,4.63781726,FALSE,5.76638923666756,FALSE
"ERI","Eritrea","Africa",22.4,NA,NA,2.95931347,FALSE,0,FALSE
"ESP","Spain","Europe",65.9,26505.6243284919,25.0849219430634,8.97038932,TRUE,NA,FALSE
"EST","Estonia","Europe",57,18237.2958432683,NA,6.68368438,TRUE,4.82458487839408,TRUE
"ETH","Ethiopia","Africa",40.6,717.124592933285,3.89941166177386,3.97401588,FALSE,1.02380246795196,TRUE
"FIN","Finland","Europe",68.7,43777.4400888075,22.5818667323713,9.49305799,TRUE,6.22662983389517,TRUE
"FJI","Fiji","Oceania",25.7,5651.31805482702,NA,3.46146795,FALSE,0.223103729848156,FALSE
"FRA","France","Europe",68.2,36962.222290118,22.5651904744868,11.53929503,TRUE,48.7303333701425,FALSE
"GAB","Gabon","Africa",20,6979.70919563581,NA,3.11291313,FALSE,2.42617247031084,TRUE
"GBR","United Kingdom","Europe",77.9,41074.1672796521,26.621941590106,9.7623484,TRUE,61.8698958919426,FALSE
"GEO","Georgia","Asia",52,4062.16988757379,28.9164199645607,8.43609722,TRUE,0.827238714771851,TRUE
"GHA","Ghana","Africa",35.5,1931.38947036943,17.8929943902007,4.44871433,TRUE,0.968688355738409,FALSE
"GIN","Guinea","Africa",32.7,732.962172595344,14.9585877715789,5.47827339,FALSE,0.502558785671775,FALSE
"GMB","Gambia","Africa",34.2,682.718020328255,NA,4.43153755,FALSE,4.59310851653354,FALSE
"GNB","Guinea-Bissau","Africa",20,661.007654906181,NA,6.09011769,TRUE,1.98170933100542,FALSE
"GNQ","Equatorial Guinea","Africa",16.2,9244.05179769096,NA,3.37653274,FALSE,5.91595776148711,FALSE
"GRC","Greece","Europe",53.8,18116.4596223336,29.3180261899369,8.45429347,TRUE,3.67454612159812,TRUE
"GRD","Grenada","North America",27.5,9628.34748662013,NA,5.24666501,NA,0,FALSE
"GTM","Guatemala","North America",32.7,4140.58982610593,16.7365793767857,5.82031093,TRUE,18.051340490647,FALSE
"GUY","Guyana","South America",31.7,4542.62206666493,NA,4.24328719,TRUE,9.91661146843403,FALSE
"HND","Honduras","North America",27.6,2342.58465119568,13.7513557359428,8.40196647,TRUE,23.2316109834937,FALSE
"HRV","Croatia","Europe",53.3,12360.47325706,NA,7.18008037,TRUE,6.6256332107916,TRUE
"HTI","Haiti","North America",31.5,735.301770321704,23.0899347507419,5.38571841,FALSE,1.99078573155631,FALSE
"HUN","Hungary","Europe",54,12992.375667515,17.8359577922326,7.36479381,TRUE,7.83615500473585,FALSE
"IDN","Indonesia","Asia",56.6,3562.84575641971,13.1779243360419,3.12449094,TRUE,3.82891976996751,FALSE
"IND","India","Asia",46.5,1729.26802051544,14.9351623153858,3.65833057,TRUE,6.97954303964041,FALSE
"IRL","Ireland","Europe",59,63197.0823744196,24.7206768818601,7.37830423,TRUE,36.4940147385595,FALSE
"IRN","Iran","Asia",37.7,5265.90663458425,26.0093809241605,8.10277065,FALSE,30.6918605421576,FALSE
"IRQ","Iraq","Asia",25.8,4776.72649939342,25.079725474283,3.31216318,TRUE,22.5048152771597,FALSE
"ISL","Iceland","Europe",46.3,61757.9493064483,NA,8.29151473,NA,2.93040293040293,TRUE
"ISR","Israel","Asia",47.3,37321.6240366845,57.5154458226071,7.31441124,TRUE,17.410812333972,FALSE
"ITA","Italy","Europe",56.2,30936.125444977,18.5291796141744,8.93549301,TRUE,59.2952631203939,FALSE
"JAM","Jamaica","North America",29,4843.33847410864,NA,6.0723917,TRUE,3.1406600316565,FALSE
"JOR","Jordan","Asia",42.1,4103.73359991068,19.60214069734,5.46821058,FALSE,0.499846125800489,FALSE
"JPN","Japan","Asia",59.8,38794.3309405515,64.125317195796,10.92612327,TRUE,1.2310591430383,FALSE
"KAZ","Kazakhstan","Asia",40.7,7714.84184376024,14.9873314430016,3.52614962,FALSE,10.9177823353158,FALSE
"KEN","Kenya","Africa",47.1,1410.5275710827,10.6089401289897,4.54957525,TRUE,1.30180970145784,FALSE
"KGZ","Kyrgyzstan","Asia",49.3,1120.66651300848,NA,6.62528772,TRUE,16.3085354184143,FALSE
"KHM","Cambodia","Asia",39.2,1278.63106216298,11.6370284378198,6.08196009,FALSE,0,FALSE
"KNA","Saint Kitts and Nevis","North America",26.2,18811.9451170299,NA,5.67183165,NA,0,FALSE
"KOR","South Korea","Asia",70.2,27608.2474287116,50.0123707923475,7.33752488,TRUE,0.793849201770974,FALSE
"KWT","Kuwait","Asia",46.1,27653.1644010105,68.2721684522096,3.903945,FALSE,14.1667503792825,FALSE
"LAO","Laos","Asia",43.1,2308.80048220079,NA,2.36087478,FALSE,0,FALSE
"LBN","Lebanon","Asia",43.1,7634.94654364282,33.9692429923406,8.01673185,TRUE,5.14252410320094,FALSE
"LBR","Liberia","Africa",35.1,714.623392230031,28.72400032441,9.61511081,TRUE,1.62129768271086,FALSE
"LBY","Libya","Africa",25.7,4035.1943155047,17.5868785816255,NA,FALSE,7.66959668545354,FALSE
"LCA","Saint Lucia","North America",35.3,9452.05536381157,NA,5.30656361,NA,0,FALSE
"LIE","Liechtenstein","Europe",43.5,165028.245029187,NA,NA,NA,2.62212549492619,FALSE
"LKA","Sri Lanka","Asia",33.9,3886.29150165239,NA,3.89324108,TRUE,0.0607100743698411,FALSE
"LSO","Lesotho","Africa",30.2,1115.33607520903,NA,8.0765782,TRUE,1.6337947169614,FALSE
"LTU","Lithuania","Europe",55,14999.4796391329,NA,6.67158258,TRUE,3.37950645246963,FALSE
"LUX","Luxembourg","Europe",43.8,104278.390971905,NA,6.16378558,TRUE,19.809066162281,FALSE
"LVA","Latvia","Europe",62.9,14153.4149226916,NA,6.24292955,TRUE,1.90859727643169,FALSE
"MAR","Morocco","Africa",43.7,2897.66343955565,21.6859528827064,5.83767147,FALSE,5.72464929953104,FALSE
"MCO","Monaco","Europe",32.7,169915.804840176,NA,1.74986203,NA,2.54816022831516,FALSE
"MDA","Moldova","Europe",42.9,2272.40570707297,NA,8.98095464,TRUE,32.2511634340722,FALSE
"MDG","Madagascar","Africa",40.1,475.955365636474,11.0760581303893,6.00363747,TRUE,0.826982929013916,FALSE
"MDV","Maldives","Asia",33.8,9209.28862477108,NA,10.61083995,NA,6.28998301704585,FALSE
"MEX","Mexico","North America",57.6,8739.75604280929,40.6545662059879,5.46900124,TRUE,59.4131422913152,FALSE
"MKD","Macedonia","Europe",39.1,5129.15896023703,NA,6.34410858,TRUE,34.9912161967572,FALSE
"MLI","Mali","Africa",29,779.874933008414,12.7603855159818,3.81961944,FALSE,0.641948869858891,FALSE
"MLT","Malta","Europe",37.3,25151.5196168932,NA,9.29531092,NA,7.24737792131612,FALSE
"MMR","Myanmar","Asia",43.4,1192.49533785043,11.7889986933037,5.08779798,NA,0.470503527361269,TRUE
"MNE","Montenegro","Europe",43.7,7028.93657685094,NA,7.64204428,TRUE,25.9528517885177,FALSE
"MNG","Mongolia","Asia",49.5,3660.15074616061,46.287101744265,3.8090161,TRUE,0,FALSE
"MOZ","Mozambique","Africa",28.1,428.926487995524,9.2346724977005,5.0661965,FALSE,0.188767169613861,FALSE
"MRT","Mauritania","Africa",27.5,1123.88816589683,26.5369755597048,4.2410152,FALSE,3.46261877212527,FALSE
"MUS","Mauritius","Africa",34.9,9681.61856689674,NA,5.745666,TRUE,0.786307554764355,FALSE
"MWI","Malawi","Africa",28,315.777326372575,5.49297370128453,9.83034233,TRUE,0.935705285245051,FALSE
"MYS","Malaysia","Asia",62.2,9817.74086096214,23.0770155807415,3.80219497,FALSE,0.414014732374389,FALSE
"NAM","Namibia","Africa",35.6,4786.23530295128,NA,9.12250271,TRUE,4.68335041378778,TRUE
"NER","Niger","Africa",32.2,362.131132274334,5.49785418501986,6.22894111,TRUE,0.285045803142576,FALSE
"NGA","Nigeria","Africa",37.8,2175.99967021858,16.2470665981811,3.64671499,TRUE,0.538955188650883,FALSE
"NIC","Nicaragua","North America",43.1,2107.56717992428,16.3963556956295,8.74635494,TRUE,2.24920802215515,FALSE
"NLD","Netherlands","Europe",75.6,46007.8529206547,12.4546264971979,10.35932019,TRUE,37.181483632823,FALSE
"NOR","Norway","Europe",64.6,70460.5605323322,18.7771598498353,10.50063009,TRUE,5.05419237879438,TRUE
"NPL","Nepal","Asia",35.1,777.147595512165,4.50182716190315,6.29441655,TRUE,1.65083285718875,TRUE
"NZL","New Zealand","Oceania",54,40026.8521964671,31.8563666581437,9.22193561,TRUE,0.51843202101599,TRUE
"OMN","Oman","Asia",43.1,14721.6473328796,29.2848820296574,4.29254957,FALSE,18.094153042853,FALSE
"PAK","Pakistan","Asia",35.5,1368.45432627629,19.6902199019656,2.75283024,TRUE,2.930839640603,FALSE
"PAN","Panama","North America",43.7,14356.3240541798,42.3357685930269,7.26068297,TRUE,54.4177578029688,FALSE
"PER","Peru","South America",49.2,6204.99726003927,32.3418439197114,5.14391365,TRUE,98.0351539916813,FALSE
"PHL","Philippines","Asia",47.6,2941.21203999356,14.2109414782251,4.38594904,TRUE,4.91051900061037,FALSE
"PNG","Papua New Guinea","Oceania",27.8,2509.63145745887,NA,1.97579249,FALSE,0.0782382795983515,FALSE
"POL","Poland","Europe",55.4,12431.5754242492,4.60718459770714,6.51647873,TRUE,6.46557333213904,FALSE
"PRT","Portugal","Europe",60.3,19978.401214968,40.6707716039937,9.07636096,TRUE,19.1924706672458,FALSE
"PRY","Paraguay","South America",35.7,5319.41021789703,45.0000236062292,8.02487617,TRUE,11.4685812748071,FALSE
"QAT","Qatar","Asia",41.2,57163.0609918357,NA,3.07944355,FALSE,7.42782170451153,FALSE
"ROU","Romania","Europe",45.8,9567.0977819133,9.33744797316379,4.98040299,TRUE,24.6807281667303,FALSE
"RUS","Russia","Europe",44.3,8745.37511648808,22.7791930237877,5.27112755,FALSE,13.9685993287672,FALSE
"RWA","Rwanda","Africa",34.2,726.347974491846,8.44647675540059,6.76069372,FALSE,0.223900031261077,FALSE
"SAU","Saudi Arabia","Asia",49.3,19879.2975304177,45.966981286194,5.74181331,FALSE,13.5348365638325,FALSE
"SDN","Sudan","Africa",26.2,2398.10187999332,13.2007300845424,5.6648529,FALSE,1.9065312126412,FALSE
"SEN","Senegal","Africa",37.9,1269.04040702421,18.8728696808383,5.51241197,TRUE,1.84544488659472,FALSE
"SGP","Singapore","Asia",58.7,56724.1703858863,100,4.46958366,FALSE,0.461511401981046,TRUE
"SLE","Sierra Leone","Africa",38.2,501.415712857832,14.6437129596806,16.53171514,TRUE,0.902596657759793,FALSE
"SLV","El Salvador","North America",44.2,3800.10330164063,17.3312966684356,6.95775683,TRUE,12.8118138799584,FALSE
"SMR","San Marino","Europe",31.1,46692.3510916145,NA,6.39562063,NA,123.755082798043,FALSE
"SOM","Somalia","Africa",16.6,295.967851645127,13.233879988126,NA,FALSE,0.62290716562831,FALSE
