"leave","country_code","gender","age","years_education","news_consumption","trust_people","trust_politicians","past_vote","immig_econ","immig_culture","country_attach","religion","climate_change","imp_tradition","imp_equality","income","eu_integration","trade_union","unemployed","train"
0,"AT","Female",68,13,30,5,3,"Yes",5,5,8,"Roman Catholic",4,2,2,0,0,1,FALSE,FALSE
0,"AT","Female",20,13,30,5,6,"No",2,5,8,"Islamic",4,4,1,0,8,0,TRUE,FALSE
0,"AT","Female",65,13,60,3,3,"Yes",8,6,9,"Roman Catholic",3,2,1,1,9,1,FALSE,TRUE
0,"AT","Female",44,17,45,7,5,"Yes",5,4,8,"Roman Catholic",4,1,2,1,0,1,FALSE,TRUE
0,"AT","Female",41,16,60,5,4,"Yes",7,9,8,"Roman Catholic",3,3,4,0,1,1,FALSE,TRUE
0,"AT","Female",57,9,30,2,3,"Yes",5,5,10,"Roman Catholic",2,5,1,0,0,0,TRUE,TRUE
1,"AT","Male",50,12,15,6,6,"Yes",2,1,4,"Roman Catholic",2,1,3,0,6,1,FALSE,TRUE
0,"AT","Female",58,4,20,1,7,"Yes",0,0,7,"Roman Catholic",3,3,3,0,1,0,FALSE,TRUE
0,"AT","Male",51,12,30,6,4,"Yes",4,3,9,"Roman Catholic",3,3,4,1,4,1,FALSE,FALSE
0,"AT","Male",47,20,60,7,5,"Yes",5,8,9,"Roman Catholic",2,3,3,1,3,0,FALSE,TRUE
1,"AT","Male",45,12,35,9,2,"Yes",8,9,9,"Roman Catholic",3,1,1,1,7,1,FALSE,FALSE
0,"AT","Female",46,12,1,9,2,"Yes",10,5,10,"Roman Catholic",3,3,1,0,5,0,FALSE,FALSE
0,"AT","Female",24,18,30,3,6,"Yes",2,5,10,"Roman Catholic",4,1,1,0,5,0,FALSE,FALSE
0,"AT","Male",80,10,30,9,6,"Yes",7,8,9,"Roman Catholic",3,2,2,0,8,1,FALSE,FALSE
0,"AT","Female",46,18,60,4,5,"Yes",3,4,8,"Roman Catholic",4,1,2,1,10,0,FALSE,FALSE
1,"AT","Female",55,13,90,6,3,"Yes",0,0,10,"Roman Catholic",5,3,1,0,0,0,FALSE,TRUE
0,"AT","Male",42,14,60,9,5,"Yes",8,5,10,"Roman Catholic",4,3,1,0,6,1,FALSE,FALSE
0,"AT","Female",65,12,180,6,4,"Yes",5,6,9,"Roman Catholic",3,3,3,1,5,1,FALSE,FALSE
1,"AT","Male",18,12,10,6,7,"No",1,1,7,"Roman Catholic",3,4,3,1,2,1,FALSE,TRUE
